company,role,skills,cgpa_required
NanoWare,Security Analyst,"SIEM, Scrum, JIRA, Ethical Hacking, Cybersecurity, Git",9
Synergy Systems,Data Analyst,"API Development, Statistics, Scrum, Pandas, Git, JIRA, SQL, Agile",8.1
Visionary AI,DevOps Engineer,"CI/CD, Terraform, Google Cloud Platform, Jenkins, API Development, Agile, Scrum",8.4
P pinnacle Corp,Mobile App Developer,"Scrum, Kotlin, Objective-C, Git",7.4
Infinite Loop,DevOps Engineer,"Git, Azure, AWS, API Development, Terraform, Prometheus, JIRA, Docker",7.7
Orion Enterprises,Cloud Architect,"API Development, Kubernetes, System Design, Security, Agile",7.1
BlueShift,Frontend Developer,"Agile, SASS, API Development, Webpack, Vue.js",7.9
DataSphere,Frontend Developer,"Webpack, JavaScript, Scrum, Redux",7.1
Keystone Digital,Software Engineer,"System Design, Git, Agile, Docker, JIRA, Java",8.4
Synapse Corp,Security Analyst,"Penetration Testing, JIRA, API Development, Cryptography, SIEM, Agile",8.4
Keystone Digital,Backend Developer,"Node.js, NoSQL, PostgreSQL, Java, Ruby, Python, JIRA, Kubernetes",7.3
DataSphere,Frontend Developer,"Agile, JIRA, Vue.js, React, JavaScript, Redux, Git",7
Polaris Tech,Data Analyst,"Data Visualization, API Development, Tableau, Pandas, Agile, JIRA, Scrum, Statistics",7.7
InnovateTech,Full-Stack Developer,"REST APIs, SQL, React, MongoDB, Node.js",8.3
InfraCloud,Machine Learning Engineer,"Scrum, PyTorch, Keras, API Development, Pandas, NumPy",8.1
NextGen AI,DevOps Engineer,"Kubernetes, Prometheus, Docker, Scrum, Git, API Development, Terraform, Ansible",8.3
Cognitive AI,Security Analyst,"Git, SIEM, Penetration Testing, Ethical Hacking",7.4
ByteForce,Software Engineer,"Docker, Algorithms, Go, Git, JIRA, Java, Scrum, C++",7.3
NeuralNet Systems,Frontend Developer,"Scrum, Next.js, JavaScript, React, API Development, Git, Angular, HTML",7.1
Quantum Solutions,Full-Stack Developer,"Git, API Development, REST APIs, React, SQL, Node.js, HTML",9
QuantumLeap,Data Analyst,"Agile, Tableau, Excel, Statistics, Python, Pandas, Git",7.7
Stellar Solutions,Frontend Developer,"Angular, SASS, JIRA, CSS, Next.js, React, Redux",7.1
SkyBridge,Security Analyst,"Penetration Testing, Agile, Network Security, JIRA, SIEM, Cryptography, Git",8.7
DigitalFrontier,Software Engineer,"Scrum, Algorithms, API Development, Data Structures, Python",8.2
BioSynth,Backend Developer,"Java, Ruby, GraphQL, PostgreSQL, Docker, MongoDB",8.1
FutureProof,Backend Developer,"Ruby, NoSQL, PostgreSQL, Agile",8.3
AquaGen,Full-Stack Developer,"Agile, MongoDB, SQL, Git, REST APIs, JavaScript",7.4
LogicLoop,Machine Learning Engineer,"Keras, NLP, PyTorch, TensorFlow, Agile, Git",7.3
SkyBridge,Security Analyst,"Cybersecurity, API Development, JIRA, Network Security, SIEM, Agile, Git, Penetration Testing",7.3
InfraCloud,Data Scientist,"JIRA, Data Visualization, R, Git, Python, Deep Learning",7.4
SynthCore,Data Scientist,"API Development, JIRA, Pandas, SQL, Git, TensorFlow",7.1
EchoSphere,Cloud Architect,"Kubernetes, AWS, Azure, API Development, Security, Git",8.1
Predictive Analytics,Cloud Architect,"Agile, System Design, API Development, AWS, Git, Networking, Terraform, Scrum",8.3
LogicLoop,Full-Stack Developer,"API Development, GraphQL, SQL, CSS, Scrum, REST APIs",8
Polaris Tech,Machine Learning Engineer,"Scikit-learn, Python, Agile, JIRA, Scrum",8.6
LogicLoop,UI/UX Designer,"Adobe XD, Scrum, API Development, Agile",8.2
Zenith Tech,Cloud Architect,"JIRA, Scrum, Google Cloud Platform, Git, Terraform",8.3
CyberGuard,Software Engineer,"Java, Agile, System Design, C++",8.9
NetSphere,Cloud Architect,"API Development, Security, Azure, JIRA, Kubernetes, Agile, Terraform",8.7
Synergy Systems,Mobile App Developer,"Swift, Agile, Android SDK, Scrum, iOS SDK, API Development, JIRA, Objective-C",7.2
Vertex Dynamics,Security Analyst,"Ethical Hacking, Cryptography, Scrum, Git, SIEM",7.8
CloudNine,Frontend Developer,"JavaScript, Angular, Agile, Vue.js, Next.js, Webpack, SASS",7.3
SkyBridge,Frontend Developer,"Git, JavaScript, TypeScript, Vue.js, SASS",7.8
SynthCore,Backend Developer,"SQL, Ruby, Agile, API Development, PostgreSQL, Go, GraphQL",7.2
Infinite Loop,Software Engineer,"C++, Git, Agile, Go, JIRA, System Design, Docker, Python",8.9
InfraCloud,Data Scientist,"Pandas, Deep Learning, Machine Learning, Python, Scikit-learn, NumPy, SQL, API Development",8.9
NanoWare,Full-Stack Developer,"API Development, JavaScript, React, GraphQL, REST APIs, Python, HTML, Agile",7.5
NetSphere,Data Analyst,"Git, JIRA, Python, API Development, SQL",8
Apex Innovations,Mobile App Developer,"Scrum, Objective-C, API Development, JIRA, Android SDK, Swift, iOS SDK",7.9
Vertex Dynamics,Mobile App Developer,"Scrum, Agile, JIRA, Android SDK, API Development, Objective-C, Git, Kotlin",7.5
Stellar Solutions,Mobile App Developer,"Android SDK, React Native, Kotlin, Objective-C, API Development, Git, iOS SDK",8.7
Momentum Labs,DevOps Engineer,"Docker, Google Cloud Platform, Git, Terraform, Azure, Scrum",8.3
Infinite Loop,Cloud Architect,"Scrum, Security, AWS, API Development, Git, Google Cloud Platform, Networking, Kubernetes",8.5
CodeCrafters,Full-Stack Developer,"SQL, Git, HTML, JavaScript, GraphQL, CSS",8.6
Momentum Labs,Data Analyst,"API Development, Statistics, JIRA, Pandas, SQL, Agile",8
NeuralNet Systems,UI/UX Designer,"Wireframing, API Development, Sketch, User Research, Adobe XD, Git",7
NetSphere,DevOps Engineer,"Google Cloud Platform, Terraform, Docker, Azure, API Development, Agile",7.3
CodeCrafters,Backend Developer,"Git, JIRA, Docker, API Development, NoSQL, MongoDB, Ruby",7.3
InnovateTech,Mobile App Developer,"Agile, Kotlin, JIRA, iOS SDK, Scrum",7.2
FusionWorks,Security Analyst,"Scrum, JIRA, Network Security, API Development, Agile, Cybersecurity",9
WebWeavers,Full-Stack Developer,"Agile, GraphQL, HTML, Node.js",7.9
LogicLoop,Machine Learning Engineer,"Pandas, NumPy, Computer Vision, Git, TensorFlow",7.1
FutureProof,Software Engineer,"System Design, Data Structures, Java, Kubernetes, Python, Agile, JIRA, Go",8.6
Vertex Dynamics,Machine Learning Engineer,"Python, NLP, Scikit-learn, Keras, API Development, JIRA, Pandas",7.4
Orion Enterprises,Cloud Architect,"AWS, API Development, Scrum, JIRA, Git, Kubernetes, Terraform",7.7
Cognitive AI,Full-Stack Developer,"React, Git, Python, REST APIs, HTML, Node.js, JIRA",7.8
NeuralNet Systems,Software Engineer,"Python, System Design, Scrum, Java, Algorithms",7.4
Infinite Loop,Frontend Developer,"JavaScript, TypeScript, Angular, Vue.js, JIRA, Webpack, CSS",7
Alpha Systems,Software Engineer,"Scrum, API Development, System Design, Git, Python, Agile, Data Structures",7.3
P pinnacle Corp,Security Analyst,"Penetration Testing, Git, Network Security, Agile, Cybersecurity, Ethical Hacking",7.8
NextGen AI,Cloud Architect,"Security, Agile, Networking, Scrum, JIRA, Git",7.4
AquaGen,Security Analyst,"Cybersecurity, SIEM, Scrum, Cryptography, Penetration Testing",7.1
NeuralNet Systems,Data Analyst,"SQL, Power BI, Data Visualization, Tableau, Git, Scrum, API Development, Excel",8.9
Synergy Systems,DevOps Engineer,"Kubernetes, CI/CD, JIRA, API Development, AWS, Docker, Google Cloud Platform, Terraform",7.4
TerraForm Inc.,Software Engineer,"Algorithms, Go, Kubernetes, JIRA, Data Structures, API Development, System Design, Python",8.1
Zenith Tech,Data Analyst,"Python, Power BI, Statistics, Excel",8.3
AeroVerse,Data Scientist,"Git, API Development, Deep Learning, Data Visualization, Agile, PyTorch",7.5
CodeCrafters,Security Analyst,"Ethical Hacking, Penetration Testing, Agile, Cybersecurity, Git, JIRA",7.7
CodeCrafters,Frontend Developer,"API Development, Angular, SASS, Next.js, Redux, JIRA, HTML, Git",7.7
FutureProof,Machine Learning Engineer,"TensorFlow, API Development, Git, Keras, Agile, JIRA, Pandas, Computer Vision",7.4
Alpha Systems,Cloud Architect,"Azure, Networking, Terraform, AWS",8.4
CyberGuard,Machine Learning Engineer,"Git, TensorFlow, Pandas, JIRA, Python, Agile, Scrum, Scikit-learn",7.9
CyberGuard,DevOps Engineer,"Terraform, Docker, API Development, Google Cloud Platform, Scrum, Git, JIRA, Ansible",8.5
Omega Solutions,Full-Stack Developer,"CSS, JIRA, GraphQL, Node.js",7.5
InfraCloud,Full-Stack Developer,"MongoDB, REST APIs, React, Agile, Node.js, JavaScript, GraphQL, Git",8.5
Apex Innovations,Data Analyst,"Python, Agile, Excel, Scrum, Pandas, Tableau",8.7
FusionWorks,Backend Developer,"Go, Git, SQL, MongoDB, REST APIs",8.6
DataSphere,Mobile App Developer,"Swift, Android SDK, API Development, Git, Flutter",7.4
Zenith Tech,Backend Developer,"Scrum, Docker, API Development, Go, Agile, Node.js",8
NeuralNet Systems,Backend Developer,"C#, REST APIs, Ruby, Python, GraphQL",8.2
WebWeavers,Backend Developer,"C#, PostgreSQL, SQL, Agile, Python, NoSQL, API Development, Docker",7.3
Stellar Solutions,Mobile App Developer,"Scrum, Android SDK, React Native, Objective-C",8.4
InfraCloud,Data Analyst,"Agile, Data Visualization, Statistics, API Development, SQL, Scrum",8.7
NanoWare,Mobile App Developer,"Objective-C, Scrum, Agile, iOS SDK, API Development, Kotlin, JIRA",7.8
RedShift,Security Analyst,"Penetration Testing, Cryptography, Ethical Hacking, JIRA, Agile, Scrum, Network Security, Git",7.6
BinaryBridge,Backend Developer,"Node.js, Ruby, MongoDB, Kubernetes, Java, Scrum, Git",7.8
Synapse Corp,Data Scientist,"Statistics, Git, PyTorch, Agile, Data Visualization",7.9
CodeCrafters,Data Analyst,"Statistics, Python, Excel, Data Visualization, Power BI, Tableau, Git",8.1
NeuralNet Systems,Backend Developer,"Python, Ruby, Scrum, MongoDB, SQL, GraphQL",7.6
FutureProof,Security Analyst,"Ethical Hacking, Agile, Network Security, SIEM, Penetration Testing, JIRA, Git",7.2
QuantumLeap,Machine Learning Engineer,"TensorFlow, NumPy, API Development, Pandas, PyTorch, Agile, JIRA, Keras",7.3
Predictive Analytics,Software Engineer,"System Design, Git, Data Structures, Python",7.1
BlueShift,Software Engineer,"Go, JIRA, Agile, Java, C++, System Design, Git, Python",8.5
ByteForce,Backend Developer,"REST APIs, Kubernetes, NoSQL, Java, Docker, Scrum",8.6
ByteForce,Frontend Developer,"Scrum, Git, HTML, Agile, TypeScript, Webpack, JavaScript, Angular",8.3
BioSynth,Data Analyst,"SQL, Scrum, Data Visualization, Power BI, Tableau, Git",8.8
Synergy Systems,Software Engineer,"Data Structures, JIRA, Docker, Algorithms, Agile",8.1
Orion Enterprises,Mobile App Developer,"Swift, Kotlin, JIRA, Flutter, Objective-C",7.8
AquaGen,Security Analyst,"Cryptography, Scrum, API Development, Network Security, SIEM",8.5
Quantum Solutions,UI/UX Designer,"Scrum, API Development, Figma, Sketch, User Research",7.5
Apex Innovations,Mobile App Developer,"Git, API Development, JIRA, Kotlin, Agile",7.2
Vertex Dynamics,Security Analyst,"API Development, Scrum, Network Security, Cybersecurity, Ethical Hacking, Cryptography, SIEM, Penetration Testing",8
Orion Enterprises,UI/UX Designer,"Agile, UI/UX Design, API Development, Figma, Wireframing, Scrum, Adobe XD",7.5
Alpha Systems,Security Analyst,"SIEM, Scrum, Cryptography, Network Security, Agile, API Development, Penetration Testing, Git",7.1
Cognitive AI,Machine Learning Engineer,"API Development, Agile, NumPy, PyTorch, Keras, Python",7.6
AeroVerse,Machine Learning Engineer,"Keras, JIRA, Scikit-learn, NLP, Computer Vision, PyTorch, Git",8.2
NeuralNet Systems,Mobile App Developer,"API Development, Agile, Scrum, Kotlin, React Native, iOS SDK",7.5
PixelPerfect,Frontend Developer,"SASS, TypeScript, Agile, HTML, Vue.js, JIRA, CSS",8.7
FutureProof,DevOps Engineer,"Docker, Kubernetes, JIRA, Azure, Jenkins, Agile, AWS",8.5
NanoWare,Machine Learning Engineer,"Scrum, Computer Vision, Pandas, PyTorch, TensorFlow, Keras, Scikit-learn, Agile",8.5
Apex Innovations,Data Analyst,"Git, Power BI, JIRA, Statistics, Python, Data Visualization, API Development, SQL",7.3
RedShift,UI/UX Designer,"Wireframing, Figma, User Research, Sketch",7
CyberGuard,Security Analyst,"Network Security, Cybersecurity, Git, Scrum, API Development, JIRA, SIEM, Agile",7.8
Synapse Corp,Backend Developer,"C#, REST APIs, NoSQL, API Development, SQL, Python",7
InnovateTech,Cloud Architect,"System Design, Agile, Terraform, Scrum, Git, Security, Kubernetes, API Development",8.1
Synapse Corp,Software Engineer,"Git, Python, Scrum, Algorithms, Data Structures",7
WebWeavers,Backend Developer,"GraphQL, SQL, C#, NoSQL, PostgreSQL, Python",7.9
NextGen AI,Data Scientist,"API Development, Machine Learning, JIRA, Git, Python",7
Polaris Tech,Security Analyst,"Git, Penetration Testing, Scrum, Ethical Hacking, Network Security, Agile",8.9
Visionary AI,Data Analyst,"Statistics, SQL, Data Visualization, Python, Pandas, Scrum, Agile, Git",8.2
NeuralNet Systems,Data Analyst,"SQL, Data Visualization, API Development, Excel",7.6
Predictive Analytics,Security Analyst,"Penetration Testing, Cryptography, Network Security, Agile, Scrum, Git, Cybersecurity",7.7
Synapse Corp,Data Scientist,"TensorFlow, Data Visualization, Scrum, PyTorch, SQL",8.1
Insight Data,Full-Stack Developer,"JavaScript, Scrum, Git, SQL",8.2
Infinite Loop,Security Analyst,"Cryptography, Penetration Testing, SIEM, Ethical Hacking, Git, JIRA, Scrum",7
BioSynth,DevOps Engineer,"Scrum, JIRA, AWS, Terraform",8.2
Alpha Systems,Full-Stack Developer,"Agile, JIRA, Node.js, JavaScript, API Development, Scrum",8
Zenith Tech,Full-Stack Developer,"API Development, REST APIs, JavaScript, SQL, React, Node.js",9
Polaris Tech,Data Analyst,"Scrum, Statistics, Data Visualization, Tableau",8.8
NextGen AI,Full-Stack Developer,"SQL, JIRA, HTML, Agile, React",7.3
HelioDynamics,Software Engineer,"Java, Kubernetes, Agile, System Design, Scrum, Data Structures, JIRA, Algorithms",8.1
NextGen AI,Backend Developer,"MongoDB, Ruby, Scrum, Java",7.8
InnovateTech,Software Engineer,"Git, Python, Algorithms, Kubernetes, JIRA, Data Structures",7.1
FusionWorks,Full-Stack Developer,"JavaScript, Python, HTML, Agile, API Development, CSS",7.8
InnovateTech,Data Analyst,"Statistics, SQL, Excel, Tableau, Pandas",8.6
HelioDynamics,Full-Stack Developer,"GraphQL, Scrum, JavaScript, CSS, Agile, REST APIs, HTML, Python",7.8
Cognitive AI,DevOps Engineer,"JIRA, Prometheus, Jenkins, Docker",8.5
Omega Solutions,Frontend Developer,"SASS, CSS, React, Vue.js, TypeScript, HTML, Scrum",7.7
DigitalFrontier,Mobile App Developer,"Kotlin, API Development, React Native, Agile, Scrum, JIRA, Android SDK, Swift",7.2
RedShift,Cloud Architect,"System Design, Scrum, Terraform, AWS",8.5
Momentum Labs,Machine Learning Engineer,"TensorFlow, Git, JIRA, NLP",7.2
HelioDynamics,Full-Stack Developer,"React, REST APIs, MongoDB, GraphQL, SQL, Scrum",8.6
Stellar Solutions,Full-Stack Developer,"Git, Agile, HTML, MongoDB, JavaScript, GraphQL, API Development, React",7.3
Stellar Solutions,Cloud Architect,"Git, System Design, Terraform, Scrum, Agile, AWS",7.6
Momentum Labs,Cloud Architect,"Git, API Development, Security, AWS, Terraform, Google Cloud Platform",8.5
Predictive Analytics,Data Analyst,"SQL, API Development, Statistics, JIRA, Python, Scrum",7.9
CyberGuard,Mobile App Developer,"JIRA, Git, Swift, Android SDK, API Development, Kotlin, Flutter",7.1
Omega Solutions,Frontend Developer,"Webpack, HTML, JavaScript, Next.js, Agile, API Development, SASS, JIRA",8.9
CyberGuard,Data Analyst,"Tableau, Power BI, Python, Scrum, SQL, Excel",7.6
Synapse Corp,Full-Stack Developer,"REST APIs, API Development, Git, CSS, SQL, JavaScript, Node.js",7.8
Polaris Tech,Data Analyst,"Agile, Statistics, Git, Scrum, Tableau",7.1
InfraCloud,DevOps Engineer,"AWS, Docker, Kubernetes, Ansible",8.4
Apex Innovations,Data Analyst,"Excel, JIRA, Git, API Development, Agile",8
RedShift,Backend Developer,"Git, Agile, Java, Ruby, Node.js, API Development",7.5
InfraCloud,UI/UX Designer,"Git, JIRA, UI/UX Design, Adobe XD, Scrum, API Development",7.9
CodeCrafters,Data Analyst,"Python, SQL, Statistics, Tableau, Data Visualization, Git",7.3
NovaPulse,Backend Developer,"MongoDB, Java, PostgreSQL, SQL, API Development, NoSQL, REST APIs, GraphQL",8.8
DataSphere,DevOps Engineer,"Agile, Docker, Git, Azure, Jenkins",7.2
AquaGen,Cloud Architect,"Security, Google Cloud Platform, JIRA, Azure, API Development",7.1
AeroVerse,Software Engineer,"System Design, Python, Java, C++, Docker, JIRA, Git",8.1
Polaris Tech,Frontend Developer,"Vue.js, React, Redux, TypeScript, HTML, Next.js, Webpack",7.3
Momentum Labs,Mobile App Developer,"Git, iOS SDK, JIRA, Android SDK, Swift, Objective-C, React Native, API Development",7.6
BioLogics,Mobile App Developer,"Objective-C, API Development, JIRA, React Native, Kotlin, Agile, Swift",7.5
NovaPulse,Full-Stack Developer,"Git, MongoDB, Node.js, GraphQL, API Development",8.2
Stellar Solutions,Full-Stack Developer,"Node.js, Python, JIRA, SQL, Scrum",7.3
Zenith Tech,Security Analyst,"Scrum, Penetration Testing, Ethical Hacking, Network Security",8.8
Stellar Solutions,Data Analyst,"Excel, JIRA, Data Visualization, API Development, SQL, Tableau, Git, Python",8.5
QuantumLeap,Software Engineer,"Python, API Development, Java, Kubernetes",8.9
Polaris Tech,Data Scientist,"Statistics, Machine Learning, NumPy, SQL, Python",7.9
AquaGen,Cloud Architect,"Git, Azure, Kubernetes, Security, System Design",7.2
RedShift,Backend Developer,"NoSQL, SQL, C#, PostgreSQL, Node.js, API Development, Python, Docker",7.3
RedShift,Data Analyst,"Scrum, Power BI, Pandas, JIRA",7.7
NovaPulse,UI/UX Designer,"UI/UX Design, Wireframing, Adobe XD, API Development",7.9
ByteForce,UI/UX Designer,"Git, Adobe XD, User Research, Figma, Wireframing, Sketch, UI/UX Design",8.6
DigitalFrontier,Software Engineer,"C++, Docker, Java, Data Structures, Git, System Design, JIRA, API Development",8.9
Zenith Tech,Frontend Developer,"API Development, React, JavaScript, SASS",8.6
NetSphere,Cloud Architect,"API Development, Google Cloud Platform, Terraform, AWS, JIRA, Scrum, Git",7.9
Quantum Solutions,UI/UX Designer,"Wireframing, Adobe XD, UI/UX Design, API Development, Sketch",8.4
Vertex Dynamics,Frontend Developer,"SASS, JavaScript, JIRA, Next.js, React",8
QuantumLeap,Machine Learning Engineer,"Python, JIRA, Agile, TensorFlow, API Development",8.2
CloudNine,Frontend Developer,"Redux, React, JavaScript, JIRA, CSS",7.8
Stellar Solutions,Full-Stack Developer,"SQL, HTML, JIRA, JavaScript, API Development, CSS, Agile",7.8
Keystone Digital,Data Scientist,"Data Visualization, Pandas, NumPy, Scrum",8.5
AquaGen,Data Analyst,"Scrum, Git, Excel, Tableau, Python, Agile",8.9
Zenith Tech,Mobile App Developer,"API Development, Agile, Objective-C, Git, Flutter",7.2
DigitalFrontier,Backend Developer,"Go, Docker, MongoDB, Kubernetes, NoSQL",8.9
WebWeavers,Mobile App Developer,"Kotlin, Flutter, Objective-C, iOS SDK, Swift, Git, Scrum",7.9
LogicLoop,Data Scientist,"Agile, Deep Learning, Git, JIRA",8
Keystone Digital,DevOps Engineer,"Google Cloud Platform, Kubernetes, Azure, Docker, Scrum, Jenkins, JIRA",7.1
Polaris Tech,Security Analyst,"API Development, Scrum, Git, Cryptography, Ethical Hacking, Agile, Cybersecurity",7.9
Stellar Solutions,Security Analyst,"JIRA, Penetration Testing, API Development, Scrum, Git",8.7
AquaGen,DevOps Engineer,"Terraform, Azure, JIRA, CI/CD, AWS",8.8
Vertex Dynamics,Security Analyst,"Git, API Development, JIRA, Cybersecurity, Scrum",8.4
CyberGuard,Data Scientist,"JIRA, R, Agile, API Development, Scikit-learn, Statistics, Pandas, TensorFlow",7.8
NeuralNet Systems,Cloud Architect,"Kubernetes, API Development, JIRA, Terraform",7
Synapse Corp,DevOps Engineer,"Ansible, Scrum, Kubernetes, Docker, AWS, API Development, Prometheus",8.4
Alpha Systems,Frontend Developer,"Vue.js, Next.js, SASS, JIRA, Redux, Git, JavaScript, API Development",7
FusionWorks,Software Engineer,"Python, Docker, Agile, Go, Git",8
FutureProof,Security Analyst,"Scrum, Agile, Cybersecurity, Penetration Testing, Network Security, JIRA, SIEM, Cryptography",8.9
Zenith Tech,Data Analyst,"Git, JIRA, Scrum, Data Visualization, Power BI, Tableau, Python, API Development",8.8
InnovateTech,Cloud Architect,"Google Cloud Platform, JIRA, AWS, Networking, Terraform, System Design",7.8
RedShift,Security Analyst,"Scrum, Cybersecurity, API Development, Ethical Hacking, Network Security, JIRA, Git, SIEM",8.1
Predictive Analytics,Cloud Architect,"Security, JIRA, Git, Kubernetes, Networking",8
Vertex Dynamics,UI/UX Designer,"User Research, UI/UX Design, Agile, JIRA, Scrum, Adobe XD",8.5
BlueShift,Software Engineer,"Docker, Python, Agile, JIRA",7.9
CodeCrafters,DevOps Engineer,"Agile, Kubernetes, CI/CD, Scrum, Jenkins, Google Cloud Platform, JIRA",7.9
InfraCloud,Data Analyst,"Python, JIRA, SQL, Excel",8.8
NextGen AI,DevOps Engineer,"Terraform, Prometheus, Agile, Jenkins, AWS, Google Cloud Platform",8.1
Synergy Systems,DevOps Engineer,"Jenkins, Agile, Prometheus, Docker, API Development, Scrum",7.5
Cognitive AI,Cloud Architect,"Scrum, Networking, AWS, JIRA, Google Cloud Platform, System Design, Git",8.1
DigitalFrontier,Backend Developer,"MongoDB, Git, Go, PostgreSQL, Ruby, API Development, NoSQL, C#",7.2
WebWeavers,Full-Stack Developer,"JIRA, HTML, JavaScript, MongoDB",9
AquaGen,Cloud Architect,"Terraform, Security, Scrum, API Development",8.6
HelioDynamics,Mobile App Developer,"Flutter, Swift, iOS SDK, Agile, JIRA",7.5
BioLogics,Security Analyst,"Cryptography, Ethical Hacking, Git, SIEM, API Development, Cybersecurity, Network Security, Scrum",8
DigitalFrontier,Machine Learning Engineer,"Scrum, NumPy, Agile, Keras, Git, Scikit-learn",7.1
NovaPulse,Software Engineer,"Go, Algorithms, Kubernetes, Docker, Scrum, Python",8.8
Infinite Loop,DevOps Engineer,"Terraform, Jenkins, API Development, Scrum, Docker, AWS",7.2
Insight Data,Software Engineer,"Docker, API Development, System Design, Scrum, Agile, C++",8.9
NextGen AI,UI/UX Designer,"UI/UX Design, Git, User Research, Agile, Figma, Scrum, Sketch, Wireframing",7.6
Insight Data,Software Engineer,"JIRA, Go, Java, Docker, Data Structures, System Design, Kubernetes, Agile",7.4
NovaPulse,Frontend Developer,"HTML, Vue.js, Webpack, React",7.7
Zenith Tech,Frontend Developer,"Scrum, Agile, JIRA, Vue.js, TypeScript, React, Next.js, SASS",8.5
Alpha Systems,Mobile App Developer,"Agile, API Development, React Native, Git",8.1
AeroVerse,DevOps Engineer,"Git, JIRA, CI/CD, Docker, Google Cloud Platform, Terraform",7.6
Alpha Systems,Security Analyst,"Git, Ethical Hacking, Cybersecurity, JIRA, Cryptography, API Development",7.6
SkyBridge,Mobile App Developer,"Agile, Swift, React Native, Objective-C",7.4
Stellar Solutions,UI/UX Designer,"UI/UX Design, Figma, Wireframing, Sketch, Agile, Scrum, API Development",8.1
TerraForm Inc.,Mobile App Developer,"API Development, JIRA, iOS SDK, Swift, Agile, Flutter, Android SDK, Git",7.4
Apex Innovations,UI/UX Designer,"Wireframing, Agile, Figma, Adobe XD, API Development",7.5
HelioDynamics,UI/UX Designer,"UI/UX Design, API Development, Scrum, JIRA, Adobe XD",8.1
Omega Solutions,Backend Developer,"Python, GraphQL, PostgreSQL, MongoDB, JIRA, SQL",8.8
QuantumLeap,Data Scientist,"R, Git, Scikit-learn, Pandas, Statistics, Data Visualization",7.7
